Hidro,Bloque,TipoEtapa,BarNum,BarNom,CMgBar,DemBarP,DemBarE,PerBarP,PerBarE,BarRetP,BarRetE
Sim  1,   7,Stage01     ,   4,b4                                              ,     20.07,     28.00,          0.028,          0.000,          0.000,        561.973,          0.562
Sim  1,   8,Stage01     ,   4,b4                                              ,     20.07,     38.00,          0.038,          0.000,          0.000,        762.678,          0.763
Sim  1,   9,Stage01     ,   4,b4                                              ,     20.07,     48.00,          0.048,          0.000,          0.000,        963.382,          0.963
Sim  1,  10,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
Sim  1,  11,Stage01     ,   4,b4                                              ,     20.07,     58.00,          0.058,          0.000,          0.000,       1164.087,          1.164
Sim  1,  12,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  13,Stage01     ,   4,b4                                              ,     20.07,     62.00,          0.062,          0.000,          0.000,       1244.369,          1.244
Sim  1,  14,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  15,Stage01     ,   4,b4                                              ,     20.07,     57.00,          0.057,          0.000,          0.000,       1144.017,          1.144
Sim  1,  16,Stage01     ,   4,b4                                              ,     20.07,     55.00,          0.055,          0.000,          0.000,       1103.876,          1.104
Sim  1,  17,Stage01     ,   4,b4                                              ,     20.07,     56.00,          0.056,          0.000,          0.000,       1123.946,          1.124
Sim  1,  18,Stage01     ,   4,b4                                              ,     20.07,     60.00,          0.060,          0.000,          0.000,       1204.228,          1.204
Sim  1,  19,Stage01     ,   4,b4                                              ,     20.07,     68.00,          0.068,          0.000,          0.000,       1364.792,          1.365
Sim  1,  20,Stage01     ,   4,b4                                              ,     20.07,     75.00,          0.075,          0.000,          0.000,       1505.285,          1.505
Sim  1,  21,Stage01     ,   4,b4                                              ,     20.07,     72.00,          0.072,          0.000,          0.000,       1445.074,          1.445
Sim  1,  22,Stage01     ,   4,b4                                              ,     20.07,     65.00,          0.065,          0.000,          0.000,       1304.580,          1.305
Sim  1,  23,Stage01     ,   4,b4                                              ,     20.07,     50.00,          0.050,          0.000,          0.000,       1003.523,          1.004
Sim  1,  24,Stage01     ,   4,b4                                              ,     20.07,     32.00,          0.032,          0.000,          0.000,        642.255,          0.642
MEDIA ,   1,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   2,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   3,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   4,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   5,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   6,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   7,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   8,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   9,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  10,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  11,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  12,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  13,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  14,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  15,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  16,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  17,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  18,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  19,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  20,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  21,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  22,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  23,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  24,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   1,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   2,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   3,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   4,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   5,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   6,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   7,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   8,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   9,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  10,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  11,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  12,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  13,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  14,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  15,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  16,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  17,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  18,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  19,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  20,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  21,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  22,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  23,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,  24,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
MEDIA ,   1,Stage01     ,   3,b3                                              ,     20.04,     30.00,          0.030,          0.000,          0.000,        601.310,          0.601
MEDIA ,   2,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
