Hidro, Bloque, EssNom, Efin, EMin, EMax, DCar, DCmin, DCmax, DCMod, GDes, GDMin, GDMax, PGNet, EfPSom, EfPSom2
Sim  1,  19, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  20, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  21, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  22, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  23, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  24, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   1, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   2, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   3, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   4, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   5, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   6, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   7, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   8, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,   9, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  10, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  11, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  12, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  13, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  14, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  15, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
MEDIA,  16, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
