# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 200 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    48
# Mes   Etapa    CosVar
   09     036     054.8
   10     037     054.7
   11     038     054.7
   12     039     054.7
   01     040     054.7
   02     041     054.7
   03     042     054.6
   04     043     054.6
   05     044     054.6
   06     045     054.6
   07     046     054.5
   08     047     054.5
   09     048     054.5
   10     049     054.5
   11     050     054.5
   12     051     054.4
# Nombre de la central
'NUEVA_RENCA-FA_GN_A'
# Numero de etapas
    51
# Mes   Etapa    CosVar
   03     001     079.2
   03     002     079.2
   03     003     079.2
   04     004     079.2
   04     005     079.2
   04     006     079.2
   04     007     079.2
   05     008     079.2
   05     009     079.2
   05     010     079.2
   05     011     079.2
   06     012     079.2
   06     013     079.2
   06     014     079.2
   06     015     079.2
   07     016     079.2
   07     017     079.2
   07     018     079.2
   07     019     079.2
   08     020     079.2
   08     021     079.2
   08     022     079.2
   08     023     079.2
   09     024     079.2
   10     025     079.2
   11     026     079.2
   12     027     079.2
   01     028     079.2
   02     029     079.2
   03     030     079.2
   04     031     079.2
   05     032     079.2
   06     033     079.2
   07     034     079.2
   08     035     079.2
   09     036     079.2
   10     037     079.2
   11     038     079.2
   12     039     079.2
   01     040     079.2
   02     041     079.2
   03     042     079.2
   04     043     079.2
   05     044     079.2
   06     045     079.2
   07     046     079.2
   08     047     079.2
   09     048     079.2
   10     049     079.2
   11     050     079.2
   12     051     079.2
# Nombre de la central
'NUEVA_RENCA-TG+TV_GN_A'
# Numero de etapas
    51
# Mes   Etapa    CosVar
   03     001     070.3
   03     002     070.3
   03     003     070.3
   04     004     070.3
   04     005     070.3
   04     006     070.3
   04     007     070.3
   05     008     070.3
   05     009     070.3
   05     010     070.3
   05     011     070.3
   06     012     070.3
   06     013     070.3
   06     014     070.3
   06     015     070.3
   07     016     070.3
   07     017     070.3
   07     018     070.3
   07     019     070.3
   08     020     070.3
   08     021     070.3
   08     022     070.3
   08     023     070.3
   09     024     070.3
   10     025     070.3
   11     026     070.3
   12     027     070.3
   01     028     070.3
   02     029     070.3
   03     030     070.3
   04     031     070.3
   05     032     070.3
   06     033     070.3
   07     034     070.3
   08     035     070.3
   09     036     070.3
   10     037     070.3
   11     038     070.3
   12     039     070.3
   01     040     070.3
   02     041     070.3
   03     042     070.3
   04     043     070.3
   05     044     070.3
   06     045     070.3
   07     046     070.3
   08     047     070.3
   09     048     070.3
   10     049     070.3
   11     050     070.3
   12     051     070.3
# Nombre de la central
'ATA-TG1A_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     143.9
   05     009     143.9
   05     010     143.9
   05     011     143.9
   06     012     143.6
   06     013     143.6
   06     014     143.6
   06     015     143.6
   07     016     144.9
   07     017     144.9
   07     018     144.9
   07     019     144.9
   08     020     149.9
   08     021     149.9
   08     022     149.9
   08     023     149.9
   09     024     156.5
   10     025     160.5
   11     026     157.8
   12     027     151.5
   01     028     147.7
   02     029     148.1
   03     030     150.8
   04     031     153.8
   05     032     154.0
   06     033     153.4
   07     034     154.6
   08     035     159.2
   09     036     165.7
   10     037     169.8
   11     038     166.1
   12     039     157.4
   01     040     151.6
   02     041     152.0
   03     042     154.7
   04     043     157.6
   05     044     157.9
   06     045     157.3
   07     046     158.4
   08     047     163.1
   09     048     170.0
   10     049     174.0
   11     050     170.3
   12     051     160.1
# Nombre de la central
'ATA-TG1A+0.5TV1C_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     067.5
   05     009     067.5
   05     010     067.5
   05     011     067.5
   06     012     067.3
   06     013     067.3
   06     014     067.3
   06     015     067.3
   07     016     068.1
   07     017     068.1
   07     018     068.1
   07     019     068.1
   08     020     071.4
   08     021     071.4
   08     022     071.4
   08     023     071.4
   09     024     075.7
   10     025     078.3
   11     026     076.6
   12     027     072.5
   01     028     069.9
   02     029     070.2
   03     030     072.0
   04     031     073.9
   05     032     074.1
   06     033     073.7
   07     034     074.5
   08     035     077.5
   09     036     081.7
   10     037     084.4
   11     038     082.0
   12     039     076.3
   01     040     072.5
   02     041     072.8
   03     042     074.5
   04     043     076.4
   05     044     076.6
   06     045     076.2
   07     046     076.9
   08     047     080.0
   09     048     084.5
   10     049     087.2
   11     050     084.7
   12     051     078.1
# Nombre de la central
'ATA-TG1A+TG1B+TV1C_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     062.9
   05     009     062.9
   05     010     062.9
   05     011     062.9
   06     012     062.7
   06     013     062.7
   06     014     062.7
   06     015     062.7
   07     016     063.5
   07     017     063.5
   07     018     063.5
   07     019     063.5
   08     020     066.6
   08     021     066.6
   08     022     066.6
   08     023     066.6
   09     024     070.5
   10     025     073.0
   11     026     071.4
   12     027     067.6
   01     028     065.2
   02     029     065.4
   03     030     067.1
   04     031     068.9
   05     032     069.1
   06     033     068.7
   07     034     069.4
   08     035     072.2
   09     036     076.2
   10     037     078.6
   11     038     076.4
   12     039     071.1
   01     040     067.6
   02     041     067.8
   03     042     069.5
   04     043     071.2
   05     044     071.4
   06     045     071.0
   07     046     071.7
   08     047     074.5
   09     048     078.7
   10     049     081.2
   11     050     078.9
   12     051     072.7
# Nombre de la central
'ATA-TG1B_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     144.0
   05     009     144.0
   05     010     144.0
   05     011     144.0
   06     012     143.7
   06     013     143.7
   06     014     143.7
   06     015     143.7
   07     016     145.0
   07     017     145.0
   07     018     145.0
   07     019     145.0
   08     020     150.0
   08     021     150.0
   08     022     150.0
   08     023     150.0
   09     024     156.6
   10     025     160.6
   11     026     157.9
   12     027     151.6
   01     028     147.8
   02     029     148.2
   03     030     150.9
   04     031     153.9
   05     032     154.2
   06     033     153.5
   07     034     154.7
   08     035     159.3
   09     036     165.8
   10     037     170.0
   11     038     166.2
   12     039     157.6
   01     040     151.7
   02     041     152.1
   03     042     154.8
   04     043     157.7
   05     044     158.0
   06     045     157.4
   07     046     158.5
