uid,lmp_avg,lmp_min,lmp_max,name,plx_lmp,dlmp,adlmp
19,48.85831731841678,31.664287567138672,56.89641571044922,ASanta110,45.13603201421037,3.722285304206409,3.722285304206409
20,48.05133085023789,30.79505729675293,56.15882873535156,ASanta220,44.52816701744244,3.523163832795447,3.523163832795447
21,36.81524789783483,-0.0758180022239685,64.47283172607422,Atacama220_BP1,35.284760678254834,1.530487219579996,1.530487219579996
22,34.62227997712104,0.012577899731695652,60.373046875,Barriles220,33.26311272732997,1.3591672497910707,1.3591672497910707
23,50.75867614291963,32.41241455078125,59.2634162902832,Batuco110,46.073962581861934,4.684713561057698,4.684713561057698
24,50.02024743670509,32.10964584350586,56.070770263671875,Bocamina154,0.0,50.02024743670509,50.02024743670509
25,51.108417669932045,32.57646942138672,59.42474365234375,Buin110,46.012644896991254,5.095772772940791,5.095772772940791
26,32.73578217022476,-0.3517000079154968,57.98039245605469,Cachiyuyal220,31.619454130863033,1.1163280393617256,1.1163280393617256
27,50.833911464327855,32.56342315673828,58.43195724487305,Candelaria220,46.096842079286205,4.73706938504165,4.73706938504165
28,32.01424437266088,-0.15000000596046448,55.51457977294922,Canutillar220,32.89557111134462,-0.8813267386837396,0.8813267386837396
29,36.145536174953335,0.03819499909877777,63.79520797729492,Capricornio110,0.0,36.145536174953335,36.145536174953335
30,36.062610061085294,0.0755447968840599,63.0078125,Capricornio220,35.197138528489155,0.8654715325961391,0.8654715325961391
31,32.75608010714807,-0.2517000138759613,57.65530776977539,Cardones110,31.50773093123116,1.248349175916914,1.248349175916914
32,32.61241900943597,-0.2274269014596939,57.3474235534668,Cardones220,31.38942803444001,1.2229909749959589,1.2229909749959589
33,31.391852580864605,-0.25796639919281006,54.97343444824219,Cautin220,30.77955149595927,0.612301084905333,0.612301084905333
34,35.68748742322038,-0.007863500155508518,62.396793365478516,Chacaya220,34.59704448156371,1.0904429416566757,1.0904429416566757
35,48.93983305068243,30.451820373535156,55.65127182006836,Charrua066,44.94981507778916,3.99001797289327,3.99001797289327
36,48.94600428853716,30.881980895996094,55.431854248046875,Charrua154,44.9945449736183,3.951459314918864,3.951459314918864
37,49.09486046291533,31.249292373657227,55.228302001953125,Charrua220,45.16254882659587,3.9323116363194615,3.9323116363194615
38,49.22009552092779,31.373668670654297,55.37129211425781,Charrua500,0.0,49.22009552092779,49.22009552092779
39,51.64323161897205,33.10077667236328,60.04509353637695,Chena110,46.38586918110322,5.257362437868835,5.257362437868835
40,51.254078251974924,32.84223175048828,59.56748580932617,Chena220,46.11980826146652,5.1342699905084075,5.1342699905084075
41,48.90437027386257,29.986473083496094,56.40754318237305,Chillan154,44.942637847429,3.9617324264335707,3.9617324264335707
42,33.039808361236716,-0.14222249388694763,58.19712829589844,Chiloe110,33.605726798247176,-0.5659184370104597,0.5659184370104597
43,47.320725611277986,27.314897537231445,54.66793441772461,Cholguan066,43.71942092483183,3.6013046864461558,3.6013046864461558
44,49.07021616754078,31.296222686767578,55.0025749206543,Cholguan220,45.12355508941286,3.946661078127917,3.946661078127917
45,34.993265700526536,-0.14204180240631104,62.360843658447266,Chonchi110,35.07043826135899,-0.07717256083245161,0.07717256083245161
46,86.69823181629181,0.511817216873169,151.21485900878906,Chuquicamata100,33.95682611293371,52.7414057033581,52.7414057033581
47,35.52553544654732,-0.018072400242090225,62.09988021850586,Chuquicamata220,33.880888544074374,1.6446469024729495,1.6446469024729495
48,69.66713893981208,30.103036880493164,243.72540283203125,Cipreses154,41.40702155922966,28.260117380582415,28.260117380582415
49,32.393348660985275,-0.15175490081310272,56.00366973876953,Ciruelos220,32.716800541024035,-0.32345188003876046,0.32345188003876046
50,51.05880255926223,32.60542678833008,59.35546875,CNavia110,45.94259067637491,5.11621188288732,5.11621188288732
51,50.96489536194574,32.58050537109375,59.19013595581055,CNavia220,45.92849852239577,5.0363968395499725,5.0363968395499725
52,49.53390163467044,31.61787986755371,57.39052200317383,CNavia220_Desf,0.0,49.53390163467044,49.53390163467044
53,33.48551969570274,-0.25729700922966003,57.2386589050293,Cochrane220,32.74448316248889,0.7410365332138511,0.7410365332138511
54,49.03455258551098,31.83845329284668,53.773048400878906,Colbun220,45.299933850426335,3.734618735084645,3.734618735084645
55,36.78443260121691,-0.05211459845304489,63.68830108642578,Collahuasi220,35.180344371582834,1.6040882296340797,1.6040882296340797
56,50.78124321074713,32.61703109741211,56.96212387084961,Concepcion066,46.38084484507107,4.400398365676061,4.400398365676061
57,50.49796313331241,32.390621185302734,56.620216369628906,Concepcion154,46.23540002840922,4.262563104903194,4.262563104903194
58,35.230557156615845,-0.06306180357933044,61.490177154541016,Conchi220,33.899038272941205,1.33151888367464,1.33151888367464
59,36.49405542419603,0.0540148988366127,62.52212905883789,Condores220,34.88083510922463,1.6132203149714002,1.6132203149714002
60,67.86441720099677,28.2166690826416,239.4081268310547,Constitucion066,41.86495770402309,25.999459496973678,25.999459496973678
61,50.354082970392135,32.39522933959961,56.413368225097656,Coronel066,46.092613345809646,4.261469624582489,4.261469624582489
62,50.02024743670509,32.10964584350586,56.070770263671875,Coronel154,0.0,50.02024743670509,50.02024743670509
63,32.46340649206901,-0.3353145122528076,57.34886169433594,CPinto220,31.340517327875677,1.1228891641933352,1.1228891641933352
64,34.446982903572334,-0.162642702460289,60.19780731201172,Crucero220,33.23768014292426,1.2093027606480717,1.2093027606480717
65,32.37900872433203,-0.2541674077510834,56.98173141479492,Cumbres500,31.287662246305693,1.0913464780263382,1.0913464780263382
66,32.82747011347895,-0.3517000079154968,58.110023498535156,DAlmagro110,31.665071249155396,1.1623988643235563,1.1623988643235563
67,32.70584701125821,-0.3517000079154968,57.88039016723633,DAlmagro220,31.609048841190386,1.0967981700678209,1.0967981700678209
68,29.216527633235923,-0.1613052934408188,55.63579559326172,DArica066,27.468471451670272,1.7480561815656515,1.7480561815656515
69,33.14068156724707,-0.04222140088677406,58.29874801635742,Degan110,33.60643475714334,-0.4657531898962688,0.4657531898962688
70,36.971214239796005,0.1861158013343811,64.5200424194336,Desalant110,35.86397019023476,1.1072440495612454,1.1072440495612454
71,44.33916893365261,-0.017969800159335136,79.23138427734375,Domeyko220,41.321915319202844,3.017253614449764,3.017253614449764
72,44.61570684115092,22.288625717163086,56.652748107910156,DonaCarmen220,41.621372197248796,2.9943346439021212,2.9943346439021212
73,33.48715419996353,1.3720285892486572,57.65293884277344,DonGoyo220,31.900305304319296,1.5868488956442306,1.5868488956442306
74,32.89014624325292,0.3407965898513794,57.343772888183594,DonHector220,31.563948721675736,1.3261975215771855,1.3261975215771855
75,49.14661943344843,31.1492919921875,55.328304290771484,Duqueco220,45.21464740913185,3.931972024316579,3.931972024316579
76,34.70070821493643,-0.05979619920253754,60.691490173339844,ElCobre220,0.0,34.70070821493643,34.70070821493643
77,34.567337320371905,-0.06940910220146179,60.352874755859375,ElLoa220,33.25446681511029,1.312870505261614,1.312870505261614
78,36.644718961169325,0.14027360081672668,64.60147857666016,ElNegro110,35.91343784018766,0.731281120981663,0.731281120981663
79,34.6750586726481,-0.2781600058078766,59.606563568115234,ElPenon110,32.83665544778198,1.83840322486612,1.83840322486612
80,50.84688295636858,32.67107391357422,58.869606018066406,ElSalto110,46.15351264154087,4.69337031482771,4.69337031482771
81,35.46017448868536,-0.05959340184926987,61.958580017089844,ElTesoro220,34.32480066097745,1.1353738277079088,1.1353738277079088
82,49.09486046291533,31.249292373657227,55.228302001953125,EntreRios220,0.0,49.09486046291533,49.09486046291533
83,49.34399809156145,31.50063133239746,55.51350021362305,EntreRios500,0.0,49.34399809156145,49.34399809156145
