name,g_energy,p_energy,de,g_peak,p_peak,dp,g_loss_ana,g_loss_rep,rev
Jadresic500->Jadresic220,-54409.13918685913,61824.295301173726,-116233.43448803286,644.595947265625,681.132445620503,-36.53649835487795,54.473128197280886,56.595424799248576,1
Kapatur220->Laberinto220,10661.64624452591,21638.571770146256,-10976.925525620347,218.07347106933594,206.213160807825,11.860310261510932,49.2935574710233,80.86722041293979,0
Kapatur220->Ohiggins220,20264.8479347229,30568.975838232345,-10304.127903509445,241.91004943847656,288.523939828873,-46.61389039039642,60.81469403391891,88.67326989583671,0
Laberinto220->ElCobre220,21839.070920944214,20257.983221219405,1581.0876997248088,292.2129821777344,218.338377567798,73.87460460993637,13.673181616687295,27.13310147030279,0
Laberinto220->Mantos220,13460.210773468018,16083.313163363702,-2623.1023898956846,160.86651611328125,163.167227928423,-2.3007118151417387,149.31476632237477,355.1521258056164,0
Laberinto220->NvaZald220,-7939.516269207001,10574.103484828624,-18513.619754035622,219.9309844970703,133.993013848921,85.9379706481493,49.98137829899704,73.56571742333472,1
Laberinto220->Oeste220,-25580.162408828735,13352.869955836437,-38933.032364665174,382.19390869140625,234.5744875565,147.61942113490625,1131.0846783058264,1687.1019150363281,1
LaCebada220->MRedondo220,976.8765287090209,990.275489782691,-13.39896107367008,33.401981353759766,33.399838271141,0.0021430826187653906,0.11116723979030799,0.0985995994960831,0
LaCebada220->PuntaSierra220,1561.0734832081944,1560.1423360139136,0.9311471942808112,51.56385803222656,51.5659978798032,-0.0021398475766361003,1.5834834375244633,1.3461347026750445,0
Lagunas220->Collahuasi220,20649.081336975098,18487.02922235304,2162.0521146220563,183.0,182.991186458731,0.008813541269006464,263.7096538476562,284.2157584428787,0
Lagunas220->NvaVictoria220,-5891.692409723997,7487.905916690395,-13379.598326414392,82.3451156616211,91.5384477026657,-9.193332041044613,11.124226875404531,14.327175153186545,1
Lagunas220->Tarapaca220,7059.324201107025,8693.60709030688,-1634.2828891998543,93.7740707397461,137.910540741387,-44.1364700016409,12.326830657165527,24.438678718928713,0
Lagunillas154->Coronel154,15730.251182556152,15272.569782262502,457.68140029364986,124.04730224609375,118.859179546974,5.188122699119745,25.728246484633036,25.53730772435665,0
Lagunillas220->Hualpen220,4780.58124256134,4784.421994590746,-3.8407520294058486,39.02153015136719,38.8778522136614,0.14367793770578885,2.7012365505344955,2.5322806968051736,0
Lagunillas220->Lagunillas154,23780.025260925293,23505.171886007054,274.85337491823884,168.85594177246094,165.889388815173,2.966552957287945,2.2119551908710937,2.1654037041589618,0
LaNegra110->AltoNorte110,6768.740947723389,18876.8507796794,-12108.109831956011,57.49589920043945,161.462091386999,-103.96619218655954,18.152312292149784,17.977190230041742,0
LoAguirre220->CNavia220,39998.95303726196,28905.069118129257,11093.883919132706,460.857666015625,401.302904831348,59.55476118427703,31.42615201004226,30.015882670879364,0
LoAguirre500->AJahuel500,57061.06936264038,26820.40319117062,30240.666171469762,736.8565673828125,660.790699201053,76.06586818175947,41.624298296487794,39.434826388955116,0
LoAguirre500->LoAguirre220,49739.90449523926,38104.5055597523,11635.398935486955,433.1822814941406,329.135066877542,104.04721461659864,30.7805221328125,30.27116895467043,0
LoAguirre500->Polpaico500,-106800.97387695312,53920.6501796151,-160721.62405656822,1029.1279296875,896.324299421241,132.803630266259,117.5511140112828,114.9687933921814,1
LoEspejo110->Ochagavia110,22941.21218109131,26206.834454615768,-3265.622273524459,206.36256408691406,225.241865174853,-18.879301087938927,47.76716675315117,46.756929740309715,0
LosChangos220->Kapatur220,-17450.3491191864,32662.795780017765,-50113.14489920417,279.93182373046875,413.461473095348,-133.52964936487928,12.291888604707955,14.455960589461029,1
LosChangos500->Jadresic500,-81127.00439453125,112914.509719459,-194041.51411399024,837.1757202148438,1120.08968269735,-282.91396248250635,430.6449862064855,623.3752102851868,1
LosChangos500->Kimal500_I,40831.18497848511,45499.23186498887,-4668.046886503762,490.0,490.0,0.0,191.03399351848668,192.1454894244671,0
LosChangos500->Kimal500_II,58415.97043991089,72076.49762554237,-13660.52718563148,606.129638671875,853.630395269569,-247.50075659769402,265.8609753227234,393.90016743540764,0
LosChangos500->LosChangos220,-18120.151111602783,32733.81576626012,-50853.9668778629,279.862548828125,413.461473095348,-133.59892426722303,4.06753278551364,3.8173111765645444,1
LosNotros220->Charrua220,9901.905002593994,12757.293934903886,-2855.388932309892,182.8333282470703,187.426626352389,-4.593298105318695,20.981537734985352,15.525728043168783,0
LosNotros220->Cholguan220,3778.6634826660156,4439.826049774013,-661.1625671079973,51.50290298461914,53.640347173202,-2.1374441885828617,6.1948804589843744,4.935559873294551,0
LosNotros220->Trupan220,795.319631492719,2048.9655885945754,-1253.6459571018563,39.42818069458008,46.4518073085046,-7.02362661392452,1.018983735898359,0.7016511883120984,0
LPalmas220->LVilos220,5172.822766780853,13052.737208949766,-7879.9144421689125,173.9894561767578,189.853234461356,-15.863778284598197,78.98974795124803,72.88411905174144,0
LVilos220->DonaCarmen220,-1057.188907623291,6784.575443829869,-7841.76435145316,80.48802947998047,86.7980108618795,-6.309981381899036,53.192749781274976,50.65275863476563,1
LVilos220->Nogales220,-736.8139252662659,7099.103319874935,-7835.9172451412005,80.7537612915039,89.4287008088887,-8.6749395173848,84.34070689519501,80.28838590532541,1
Maitenc110->Cardones110,-753.0709737427533,1450.5113004778893,-2203.582274220643,27.06104278564453,25.8354888427197,1.225553942924833,29.54985917799958,295.3645709955599,1
Maitenc110->Huasco110,1417.1334171295166,1411.791264592959,5.342152536557705,15.3736572265625,15.2699669723007,0.10369025426179945,5.2252676903555,4.7321489080786705,0
Maitenc220->Cardones220,-4385.898326992989,16656.049713078548,-21041.948040071537,233.3671112060547,237.930169643085,-4.563058437030321,159.6916511712513,2164.4623735547066,1
Maitenc220->DonHector220,-1865.7392039895058,6557.844255753868,-8423.583459743375,94.35235595703125,89.2738837125651,5.078472244466155,18.31303400902499,16.904276939108968,1
Maitenc220->Maitenc110,3292.449456587434,3485.508584479111,-193.05912789167724,41.77786636352539,42.9595895624574,-1.181723198932012,5.235895409351525,4.560740611283109,0
Maitenc220->PColorada220_II,6223.812752842903,8556.616779181017,-2332.8040263381135,99.65975189208984,108.05108967115,-8.391337779060152,11.055904510169283,9.506953503238037,0
Malloa154->Tinguiririca154,-4585.9757761359215,6051.199515337919,-10637.17529147384,53.61155319213867,59.3010060170327,-5.689452824894026,4.433529776325589,4.049895805947017,1
Mapal154->Fopaco154,-5859.078899383545,5788.543758374524,-11647.62265775807,47.252166748046875,46.8526581558342,0.3995085922126762,5.845978215820312,5.230358485132456,1
MariaElena220->Lagunas220,8599.40092754364,9617.412074121065,-1018.0111465774244,99.8340072631836,106.723448875646,-6.889441612462406,172.8452474676632,479.8722752779722,0
MariaElena220->NvaVictoria220,8756.991759300232,9702.915908023822,-945.9241487235904,100.1659927368164,106.70135298374,-6.535360246923588,179.99888270677525,493.6132253073156,0
Maule154->Linares154,3335.6303000450134,5456.649208669235,-2121.0189086242217,53.14575958251953,52.4942559525233,0.6515036299962347,49.54228653392529,48.67407299205661,0
Maule154->SMiguel066,10962.798175811768,10989.522920528865,-26.724744717097565,92.20156860351562,90.234208799912,1.9673598036036282,252.0713278868408,247.63311448693275,0
Mejillones110->Pampa110,3686.305609226227,6926.115305478006,-3239.8096962517793,38.070556640625,60.8936645660343,-22.823107925409303,37.81947614126821,54.48440974764526,0
Mejillones220->Mejillones110,13237.729965209961,16477.539661927418,-3239.809696717457,101.4447250366211,132.952544031592,-31.507818994970904,0.0,0.0,0
Mejillones220->OHiggins220,-7937.080312132835,12630.352326582137,-20567.43263871497,140.68045043945312,177.409729837906,-36.72927939845289,65.28337910811163,157.64020653045736,1
