uid,mwh,name,plx_mwh,dmwh,admwh
1168,131.39999913424253,POMUYETO_SOLAR_FV,131.62083330333334,-0.2208341690908071,0.2208341690908071
1169,119.69999895989895,PORTEZUELO_FV,119.59833329333334,0.1016656665656086,0.1016656665656086
1170,435.599999576807,POZO_ALMONTE_1_FV,431.01666664666664,4.5833329301403865,4.5833329301403865
1171,313.0000013411045,POZO_ALMONTE_2_FV,56.33666666666669,256.6633346744378,256.6633346744378
1172,638.2000014185905,POZO_ALMONTE_3_FV,268.1733333333333,370.02666808525726,370.02666808525726
1173,101.55670019239187,PRETTY_FIELD_FV,101.42668333333336,0.13001685905851446,0.13001685905851446
1174,970.9632110595703,PROVIDENCIA,970.9631999999992,1.1059571079385933e-05,1.1059571079385933e-05
1175,286.07499811798334,PSF_HORIZONTE_FV,286.5858333133334,-0.5108351953500687,0.5108351953500687
1176,130.76000028289855,PSF_LO_SIERRA_FV,131.1566666566667,-0.3966663737681415,0.3966663737681415
1177,214.80000154674053,PUANGUE_FV,215.43083333333334,-0.6308317865928075,0.6308317865928075
1178,88.78800344467163,PUCLARO,88.78799999999997,3.4446716625780027e-06,3.4446716625780027e-06
1179,143.3499992378056,PUEBLO_HUNDIDO_FV,143.84416661666666,-0.4941673788610501,0.4941673788610501
1181,87.63999928347766,PUELCHE_FV,89.65599997000001,-2.0160006865223465,2.0160006865223465
1182,9004.40001487732,PUELCHE_SUR_EO,9004.399999999998,1.4877321518724784e-05,1.4877321518724784e-05
1183,149.245001912117,PUENTE_FV,148.2166666666666,1.0283352454503927,1.0283352454503927
1184,475.89700224995613,PUERTO_SECO_FV,566.0770000000001,-90.17999775004398,90.17999775004398
1185,538.2271943092346,PULELFU,538.2271999999998,-5.690765192412073e-06,5.690765192412073e-06
1186,104.69999946653843,PULLALLI_FV,104.39999999000004,0.2999994765383889,0.2999994765383889
1187,2659.9999990463257,PULLINQUE,2660.0,-9.5367431640625e-07,9.5367431640625e-07
1188,82.50000014901161,PUNTA_BAJA_SOLAR_1_FV,82.04999999000002,0.4500001590115943,0.4500001590115943
1190,3.600000061094761,PUNTA_COLORADA_EO,3.300000000000001,0.30000006109475974,0.30000006109475974
1192,2119.029997587204,PUNTA_DE_TALCA_EO,2119.0299999999997,-2.412795765849296e-06,2.412795765849296e-06
1193,336.9999966621399,PUNTA_DEL_VIENTO,336.9999999699999,-3.307860026779963e-06,3.307860026779963e-06
1194,1501.0300052762032,PUNTA_PALMERAS_EO,1478.3899999999999,22.640005276203283,22.640005276203283
1195,3005.499989837408,PUNTA_SIERRA_EO,3005.4999999999995,-1.016259147945675e-05,1.016259147945675e-05
1196,2224.7000045776367,PUNTILLA,2224.6999999999994,4.577637355396291e-06,4.577637355396291e-06
1197,43.932000160217285,PURISIMA,43.932000000000016,1.6021726878534537e-07,1.6021726878534537e-07
1198,534.8400049395859,PVP_CHINCHORRO_FV,536.8316666666667,-1.991661727080782,1.991661727080782
1199,324.9900027811527,PVP_LA_ROSA_FV,326.0608333333334,-1.0708305521806665,1.0708305521806665
1200,130.20499866083264,PVP_MAYOS_FV,130.63916663666674,-0.43416797583410016,0.43416797583410016
1201,108.0849995687604,PVP_UNIHUE_FV,107.85833331333335,0.2266662554270482,0.2266662554270482
1202,484.72999911010265,QUEBRADA_DE_TALCA_FV,485.14666666666676,-0.41666755656410714,0.41666755656410714
1203,76.1761994487606,QUELTEHUE_FV,76.60419997,-0.42800052123939736,0.42800052123939736
1204,5436.539960861206,QUELTEHUES,5436.540000000005,-3.913879936590092e-05,3.913879936590092e-05
1205,388.755001232028,QUEMADOS_FV,390.05416662666653,-1.2991653946385213,1.2991653946385213
1206,394.56999869830906,QUETENA_FV,508.1108333333334,-113.54083463502434,113.54083463502434
1207,218.09999859333038,QUEULE_FV,217.63333331333334,0.466665279997045,0.466665279997045
1208,3693.0500185489655,QUILAPILUN_FV,3657.509999999999,35.5400185489666,35.5400185489666
1210,135.67500039748847,QUILLAY_FV,136.44333333333336,-0.7683329358448816,0.7683329358448816
1212,275.86000168323517,QUILMO_BULNES_FV,276.4458333233334,-0.5858316400982062,0.5858316400982062
1213,406.3000034838915,QUILMO_FV,406.58333330333323,-0.2833298194417466,0.2833298194417466
1214,416.90000107884407,QUINANTU_FV,410.99999999999994,5.900001078844127,5.900001078844127
1215,341.00999996066093,QUINTACABRERO_FV,342.03833333333336,-1.0283333726724209,1.0283333726724209
1251,142.33999960497022,RATULEMUS_FV,142.7566666166667,-0.41666701169648945,0.41666701169648945
1252,370.3599993288517,PMGD_GR_RAULI_FV,370.6683332933333,-0.3083339644816192,0.3083339644816192
1253,360.65500320494175,RAUQUEN_FV,360.8483333333333,-0.19333012839155117,0.19333012839155117
1254,167.08499840274453,RCU_FV,167.20833330333338,-0.12333490058884422,0.12333490058884422
1255,433.17999705672264,RDCL_SAN_FV,434.87583330333325,-1.695836246610611,1.695836246610611
