# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 271 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   11     017     048.9
   11     018     048.9
   11     019     048.9
   11     020     048.9
   12     021     050.7
   12     022     050.7
   12     023     050.7
   12     024     050.7
   01     025     049.6
   02     026     051.0
   03     027     050.8
   04     028     050.6
   05     029     051.0
   06     030     051.4
   07     031     051.8
   08     032     052.2
   09     033     052.5
   10     034     052.9
   11     035     053.3
   12     036     053.7
   01     037     054.1
   02     038     054.5
   03     039     054.9
   04     040     055.4
   05     041     055.8
   06     042     056.2
   07     043     056.6
   08     044     057.0
   09     045     057.5
   10     046     057.9
   11     047     058.3
   12     048     058.8
   01     049     059.2
   02     050     059.6
   03     051     060.1
   04     052     060.5
   05     053     061.0
   06     054     061.4
   07     055     061.9
   08     056     062.4
   09     057     062.8
   10     058     063.3
   11     059     063.8
   12     060     064.3
   01     061     064.8
   02     062     065.2
   03     063     065.7
   04     064     066.2
   05     065     066.7
   06     066     067.2
   07     067     067.7
   08     068     068.3
   09     069     068.8
   10     070     069.3
   11     071     069.8
   12     072     070.3
# Nombre de la central
'GUACOLDA_4'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     052.3
   07     002     052.3
   07     003     052.3
   07     004     052.3
   08     005     036.7
   08     006     036.7
   08     007     036.7
   08     008     036.7
   09     009     046.0
   09     010     046.0
   09     011     046.0
   09     012     046.0
   10     013     046.7
   10     014     046.7
   10     015     046.7
   10     016     046.7
   11     017     056.0
   11     018     056.0
   11     019     056.0
   11     020     056.0
   12     021     058.4
   12     022     058.4
   12     023     058.4
   12     024     058.4
   01     025     057.0
   02     026     058.8
   03     027     058.6
   04     028     057.4
   05     029     057.8
   06     030     058.2
   07     031     058.6
   08     032     059.0
   09     033     059.5
   10     034     059.9
   11     035     060.3
   12     036     060.8
   01     037     061.2
   02     038     061.6
   03     039     062.1
   04     040     062.5
   05     041     063.0
   06     042     063.4
   07     043     063.9
   08     044     064.4
   09     045     064.8
   10     046     065.3
   11     047     065.8
   12     048     066.3
   01     049     066.7
   02     050     067.2
   03     051     067.7
   04     052     068.2
   05     053     068.7
   06     054     069.2
   07     055     069.7
   08     056     070.2
   09     057     070.7
   10     058     071.3
   11     059     071.8
   12     060     072.3
   01     061     072.8
   02     062     073.4
   03     063     073.9
   04     064     074.5
   05     065     075.0
   06     066     075.6
   07     067     076.1
   08     068     076.7
   09     069     077.2
   10     070     077.8
   11     071     078.4
   12     072     079.0
# Nombre de la central
'GUACOLDA_5'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     048.4
   07     002     048.4
   07     003     048.4
   07     004     048.4
   08     005     037.2
   08     006     037.2
   08     007     037.2
   08     008     037.2
   09     009     045.0
   09     010     045.0
   09     011     045.0
   09     012     045.0
   10     013     045.3
   10     014     045.3
   10     015     045.3
   10     016     045.3
   11     017     052.2
   11     018     052.2
   11     019     052.2
   11     020     052.2
   12     021     053.5
   12     022     053.5
   12     023     053.5
   12     024     053.5
   01     025     051.1
   02     026     052.5
   03     027     052.3
   04     028     051.2
   05     029     051.5
   06     030     051.9
   07     031     052.3
   08     032     052.7
   09     033     053.1
   10     034     053.4
   11     035     053.8
   12     036     054.2
   01     037     054.6
   02     038     055.0
   03     039     055.4
   04     040     055.9
   05     041     056.3
   06     042     056.7
   07     043     057.1
   08     044     057.5
   09     045     058.0
   10     046     058.4
   11     047     058.8
   12     048     059.3
   01     049     059.7
   02     050     060.1
   03     051     060.6
   04     052     061.0
   05     053     061.5
   06     054     061.9
   07     055     062.4
   08     056     062.9
   09     057     063.3
   10     058     063.8
   11     059     064.3
   12     060     064.8
   01     061     065.2
   02     062     065.7
   03     063     066.2
   04     064     066.7
   05     065     067.2
   06     066     067.7
   07     067     068.2
   08     068     068.7
   09     069     069.3
   10     070     069.8
   11     071     070.3
   12     072     070.8
# Nombre de la central
'HORNITOS'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     061.4
   07     002     061.4
   07     003     061.4
   07     004     061.4
   08     005     061.8
   08     006     061.8
   08     007     061.8
   08     008     061.8
   09     009     061.9
   09     010     061.9
   09     011     061.9
   09     012     061.9
   10     013     060.9
   10     014     060.9
   10     015     060.9
   10     016     060.9
   11     017     061.2
   11     018     061.2
   11     019     061.2
   11     020     061.2
   12     021     065.0
   12     022     065.0
   12     023     065.0
   12     024     065.0
   01     025     065.1
   02     026     065.3
   03     027     065.5
   04     028     065.6
   05     029     066.1
   06     030     066.5
   07     031     067.0
   08     032     067.5
   09     033     067.9
   10     034     068.4
   11     035     068.9
   12     036     069.4
   01     037     069.9
   02     038     070.3
   03     039     070.8
   04     040     071.3
   05     041     071.8
   06     042     072.3
   07     043     072.8
   08     044     073.3
   09     045     073.9
   10     046     074.4
   11     047     074.9
   12     048     075.4
   01     049     076.0
   02     050     076.5
   03     051     077.0
   04     052     077.6
   05     053     078.1
   06     054     078.7
   07     055     079.2
   08     056     079.8
   09     057     080.4
   10     058     080.9
   11     059     081.5
   12     060     082.1
   01     061     082.7
   02     062     083.3
   03     063     083.9
   04     064     084.5
   05     065     085.1
   06     066     085.7
   07     067     086.3
   08     068     086.9
   09     069     087.5
   10     070     088.2
   11     071     088.8
   12     072     089.4
# Nombre de la central
'IE_MEJILLONES'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     053.3
   07     002     053.3
   07     003     053.3
   07     004     053.3
   08     005     053.0
   08     006     053.0
   08     007     053.0
   08     008     053.0
   09     009     051.4
   09     010     051.4
   09     011     051.4
   09     012     051.4
   10     013     051.4
   10     014     051.4
   10     015     051.4
   10     016     051.4
   11     017     051.7
   11     018     051.7
   11     019     051.7
   11     020     051.7
   12     021     055.1
   12     022     055.1
   12     023     055.1
   12     024     055.1
   01     025     055.2
   02     026     055.4
   03     027     055.5
   04     028     055.7
   05     029     056.1
   06     030     056.5
   07     031     056.9
   08     032     057.4
   09     033     057.8
   10     034     058.2
   11     035     058.7
   12     036     059.1
   01     037     059.5
   02     038     060.0
   03     039     060.4
   04     040     060.9
   05     041     061.3
   06     042     061.8
   07     043     062.3
   08     044     062.7
   09     045     063.2
   10     046     063.7
   11     047     064.1
   12     048     064.6
   01     049     065.1
   02     050     065.6
   03     051     066.1
   04     052     066.6
   05     053     067.1
   06     054     067.6
   07     055     068.1
   08     056     068.6
   09     057     069.1
   10     058     069.6
   11     059     070.2
   12     060     070.7
   01     061     071.2
   02     062     071.8
   03     063     072.3
   04     064     072.9
   05     065     073.4
   06     066     074.0
   07     067     074.5
   08     068     075.1
   09     069     075.6
   10     070     076.2
   11     071     076.8
   12     072     077.4
# Nombre de la central
