# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 6 
# Nombre del embalse
'CIPRESES'
#   Numero de Etapas con mantenimiento
    72
#   Mes   Etapa     VolMin     VolMax
     07     043  0.4960862  0.9132110
     08     044  0.4960862  1.0653785
     09     045  0.6351278  1.0653785
     10     046  0.4960862  1.0653785
     11     047  0.4960862  1.0653785
     12     048  0.4960862  1.0653785
     01     049  0.4497390  1.0653785
     02     050  0.4960862  0.9132110
     03     051  0.4960862  0.9132110
     04     052  0.4960862  0.9132110
     05     053  0.4960862  0.9132110
     06     054  0.4960862  0.9132110
     07     055  0.4960862  0.9132110
     08     056  0.4497390  1.0653785
     09     057  0.6351278  1.0653785
     10     058  0.4497390  1.0653785
     11     059  0.4497390  1.0653785
     12     060  0.4497390  1.0653785
     01     061  0.4497390  1.0653785
     02     062  0.4960862  0.9132110
     03     063  0.4960862  0.9132110
     04     064  0.4960862  0.9132110
     05     065  0.4960862  0.9132110
     06     066  0.4960862  0.9132110
     07     067  0.4960862  0.9132110
     08     068  0.4497390  1.0653785
     09     069  0.6351278  1.0653785
     10     070  0.4497390  1.0653785
