# Archivo de demandas por barra (plpdem.dat)
# Numero de barras
241
# Nombre de la Barra
'Coronel066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   11    072      0.31
   11    073      0.18
   11    074      0.60
   11    075      0.33
   11    076      0.18
   11    077      0.60
   11    078      0.33
   12    079      0.38
   12    080      0.93
   12    081      0.57
   12    082      0.34
   12    083      0.92
   12    084      0.56
   12    085      0.41
   12    086      0.96
   12    087      0.58
   12    088      0.41
   12    089      0.96
   12    090      0.59
   01    091      0.30
   01    092      0.64
   01    093      0.38
   02    094      0.00
   02    095      0.00
   02    096      0.00
   03    097      0.00
   03    098      0.00
   03    099      0.00
   04    100      0.25
   04    101      0.60
   04    102      0.34
   05    103      0.28
   05    104      0.60
   05    105      0.37
   06    106      0.30
   06    107      0.71
   06    108      0.35
   07    109      0.30
   07    110      0.63
   07    111      0.34
   08    112      0.38
   08    113      0.82
   08    114      0.45
   09    115      0.36
   09    116      0.81
   09    117      0.48
   10    118      0.19
   10    119      0.64
   10    120      0.35
   11    121      0.19
   11    122      0.63
   11    123      0.34
   12    124      0.40
   12    125      0.98
   12    126      0.60
   01    127      0.30
   01    128      0.64
   01    129      0.38
   02    130      0.00
   02    131      0.00
   02    132      0.00
   03    133      0.00
   03    134      0.00
   03    135      0.00
   04    136      0.23
   04    137      0.57
   04    138      0.33
   05    139      0.29
   05    140      0.59
   05    141      0.36
   06    142      0.31
   06    143      0.74
   06    144      0.36
   07    145      0.31
   07    146      0.66
   07    147      0.35
   08    148      0.40
   08    149      0.86
   08    150      0.48
   09    151      0.39
   09    152      0.85
   09    153      0.51
   10    154      0.21
   10    155      0.69
   10    156      0.39
   11    157      0.20
   11    158      0.64
   11    159      0.35
   12    160      0.42
   12    161      1.01
   12    162      0.62
   01    163      0.32
   01    164      0.70
   01    165      0.41
   02    166      0.00
   02    167      0.00
   02    168      0.00
   03    169      0.00
   03    170      0.00
   03    171      0.00
   04    172      0.22
   04    173      0.54
   04    174      0.31
   05    175      0.28
   05    176      0.57
   05    177      0.35
   06    178      0.29
   06    179      0.74
   06    180      0.36
   07    181      0.31
   07    182      0.68
   07    183      0.36
   08    184      0.41
   08    185      0.88
   08    186      0.48
   09    187      0.36
   09    188      0.85
   09    189      0.49
   10    190      0.21
   10    191      0.67
   10    192      0.38
   11    193      0.20
   11    194      0.67
   11    195      0.37
   12    196      0.39
   12    197      1.00
   12    198      0.61
   01    199      0.31
   01    200      0.66
   01    201      0.39
   02    202      0.00
   02    203      0.00
   02    204      0.00
   03    205      0.00
   03    206      0.00
   03    207      0.00
   04    208      0.21
   04    209      0.54
   04    210      0.31
   05    211      0.27
   05    212      0.56
   05    213      0.34
   06    214      0.28
   06    215      0.73
   06    216      0.35
   07    217      0.34
   07    218      0.70
   07    219      0.38
   08    220      0.41
   08    221      0.90
   08    222      0.50
   09    223      0.39
   09    224      0.89
   09    225      0.52
   10    226      0.21
   10    227      0.68
   10    228      0.38
   11    229      0.20
   11    230      0.67
   11    231      0.37
   12    232      0.40
   12    233      1.02
   12    234      0.62
# Nombre de la Barra
'Apoquindo110'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001    186.17
   07    002    171.50
   07    003    213.71
   07    004    280.07
   07    005    316.17
   07    006    331.11
   07    007    316.62
   07    008    291.04
   07    009    268.58
   07    010    228.78
   07    011    184.00
   07    012    169.59
   07    013    212.87
   07    014    279.77
   07    015    315.38
   07    016    329.89
   07    017    315.57
   07    018    289.75
   07    019    266.43
   07    020    226.30
   07    021    180.39
   07    022    169.25
   07    023    259.89
   07    024    310.63
   07    025    236.28
   07    026    180.31
   07    027    168.96
   07    028    251.08
   07    029    300.96
   07    030    233.93
   08    031    174.60
   08    032    305.06
   08    033    247.48
   08    034    175.30
   08    035    303.26
   08    036    246.46
   08    037    183.92
   08    038    324.14
   08    039    260.37
   08    040    186.87
   08    041    320.74
   08    042    262.81
   09    043    184.65
   09    044    330.19
   09    045    262.52
   09    046    191.70
   09    047    333.88
   09    048    271.06
   09    049    187.72
   09    050    337.99
   09    051    266.87
   09    052    178.94
   09    053    311.86
   09    054    253.70
   10    055    193.75
   10    056    336.03
   10    057    276.27
   10    058    202.32
   10    059    370.34
   10    060    291.97
   10    061    193.34
   10    062    353.93
   10    063    278.79
   10    064    195.97
