# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,14,sddp_fcut_13_50_0_0,1.37596e+09,54874:-0,54905:432.148,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_13_49=1000
o,32,14,sddp_ecut_13_32_1_18,2.19468e+09,54374:0,54405:-11.7461,54436:0,54467:0,54498:2.93114,54529:363.726,54591:125.994,54622:535.876,sddp_alpha_13_31=1000
o,31,14,sddp_ecut_13_31_1_19,2.24952e+09,54374:0,54405:-11.6242,54436:0,54467:0,54498:3.08626,54529:158.48,54591:62.0262,54622:795.287,sddp_alpha_13_30=1000
o,30,14,sddp_ecut_13_30_1_20,2.30883e+09,54374:0,54405:-11.4659,54436:0,54467:0,54498:3.31156,54529:637.747,54591:33.3139,54622:1030.88,sddp_alpha_13_29=1000
o,29,14,sddp_ecut_13_29_1_21,2.36956e+09,54374:0,54405:-11.2669,54436:0,54467:0,54498:3.45141,54529:558.637,54591:1004.91,54622:244.594,sddp_alpha_13_28=1000
o,28,14,sddp_ecut_13_28_1_22,2.43339e+09,54374:0,54405:-11.0489,54436:0,54467:0,54498:3.86437,54529:639.781,54591:1329.24,54622:-15.9087,sddp_alpha_13_27=1000
o,27,14,sddp_ecut_13_27_1_23,2.49152e+09,54374:0,54405:-11.5461,54436:0,54467:0,54498:3.94489,54529:595.187,54591:1329.24,54622:-7.76684,sddp_alpha_13_26=1000
o,26,14,sddp_ecut_13_26_1_24,2.55067e+09,54374:0,54405:-12.2778,54436:0,54467:0,54498:4.26931,54529:648.447,54591:1329.24,54622:1076.52,sddp_alpha_13_25=1000
o,25,14,sddp_ecut_13_25_1_25,2.60278e+09,54374:0,54405:-13.1611,54436:0,54467:0,54498:4.56919,54529:688.82,54591:1329.24,54622:1164.69,sddp_alpha_13_24=1000
o,24,14,sddp_ecut_13_24_1_26,2.65904e+09,54074:0,54105:-14.9028,54136:0,54167:0,54198:4.83126,54229:669.765,54291:1246.2,54322:1092.67,sddp_alpha_13_23=1000
o,23,14,sddp_ecut_13_23_1_27,2.71312e+09,53974:0,54005:-15.8858,54036:0,54067:0,54098:4.92611,54129:578.559,54191:1009.55,54222:529.622,sddp_alpha_13_22=1000
o,22,14,sddp_ecut_13_22_1_28,2.72674e+09,53974:0,54005:-15.8612,54036:0,54067:0,54098:4.95722,54129:532.4,54191:561.326,54222:361.121,sddp_alpha_13_21=1000
o,21,14,sddp_ecut_13_21_1_29,2.73869e+09,53974:0,54005:-15.8389,54036:0,54067:0,54098:4.97978,54129:498.488,54191:206.999,54222:216.349,sddp_alpha_13_20=1000
o,20,14,sddp_ecut_13_20_1_30,2.75258e+09,53974:0,54005:-15.8124,54036:0,54067:0,54098:5.0015,54129:436.177,54191:61.5586,54222:101.885,sddp_alpha_13_19=1000
o,19,14,sddp_ecut_13_19_1_31,2.76479e+09,53974:0,54005:-15.7884,54036:0,54067:0,54098:5.01695,54129:381.655,54191:12.2612,54222:31.0572,sddp_alpha_13_18=1000
o,18,14,sddp_ecut_13_18_1_32,2.77986e+09,53974:0,54005:-15.7615,54036:0,54067:0,54098:5.0427,54129:333.948,54191:-0.854443,54222:127.579,sddp_alpha_13_17=1000
o,17,14,sddp_ecut_13_17_1_33,2.79499e+09,53974:0,54005:-15.7339,54036:0,54067:0,54098:5.07397,54129:292.204,54191:-2.84991,54222:98.2662,sddp_alpha_13_16=1000
o,16,14,sddp_ecut_13_16_1_34,2.81016e+09,53974:0,54005:-15.706,54036:0,54067:0,54098:5.10437,54129:255.679,54191:-2.84991,54222:203.085,sddp_alpha_13_15=1000
o,15,14,sddp_ecut_13_15_1_35,2.82339e+09,53974:0,54005:-15.681,54036:0,54067:0,54098:5.12531,54129:191.759,54191:-3.72293,54222:48.288,sddp_alpha_13_14=1000
o,14,14,sddp_ecut_13_14_1_36,2.83913e+09,53974:0,54005:-15.6489,54036:0,54067:0,54098:5.16175,54129:155.804,54191:-4.54977,54222:336.801,sddp_alpha_13_13=1000
o,13,14,sddp_ecut_13_13_1_37,2.85272e+09,53974:0,54005:-15.623,54036:0,54067:0,54098:5.18677,54129:116.888,54191:-5.32493,54222:84.952,sddp_alpha_13_12=1000
o,12,14,sddp_ecut_13_12_1_38,2.86831e+09,53974:0,54005:-15.5921,54036:0,54067:0,54098:5.22257,54129:87.6657,54191:-6.77835,54222:303.902,sddp_alpha_13_11=1000
o,11,14,sddp_ecut_13_11_1_39,2.882e+09,53774:0,53805:-15.5642,53836:0,53867:0,53898:5.25678,53929:43.8329,53991:-6.77835,54022:116.75,sddp_alpha_13_10=1000
o,10,14,sddp_ecut_13_10_1_40,2.89828e+09,53774:0,53805:-15.5336,53836:0,53867:0,53898:5.28913,53929:16.4373,53991:-8.067,54022:170.354,sddp_alpha_13_9=1000
o,9,14,sddp_ecut_13_9_1_41,2.91468e+09,53774:0,53805:-15.5024,53836:0,53867:0,53898:5.32233,53929:10.2733,53991:-8.63078,54022:126.904,sddp_alpha_13_8=1000
o,8,14,sddp_ecut_13_8_1_42,2.93113e+09,53774:0,53805:-15.4707,53836:0,53867:0,53898:5.3706,53929:4.49458,53991:-9.15933,54022:268.464,sddp_alpha_13_7=1000
