# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,43,10,sddp_ecut_9_43_0_7,2.68451e+09,54874:19549,54905:13687.6,54936:6091.91,54967:4051.47,54998:10165.3,55029:750.245,55091:2857.32,55122:1366.75,sddp_alpha_0_42=1000
o,45,14,sddp_ecut_13_45_0_5,1.57699e+09,54874:12205.2,54905:6077.12,54936:2517.34,54967:1305.25,54998:1.01886,55029:573.356,55091:653.119,55122:794.435,sddp_alpha_0_44=1000
o,46,8,sddp_ecut_7_46_0_4,1.63295e+09,54874:14720.6,54905:4396.18,54936:3743.11,54967:2637.22,54998:0.907623,55029:720.836,55091:2201.27,55122:1157.96,sddp_alpha_0_45=1000
o,41,3,sddp_ecut_2_41_0_9,2.57799e+09,54374:19485.6,54405:13688.1,54436:6026.63,54467:4158.12,54498:2.56051,54529:727.421,54591:2992.92,54622:1377.67,sddp_alpha_0_40=1000
o,46,2,sddp_ecut_1_46_0_4,1.28337e+09,54874:8695.72,54905:-5.70422,54936:798.63,54967:130.654,54998:0.60122,55029:605.569,55091:165.893,55122:685.431,sddp_alpha_0_45=1000
o,42,12,sddp_ecut_11_42_0_8,3.75982e+11,54374:23933.5,54405:17046.7,54436:7777.99,54467:5376.27,54498:14302.7,54529:883.098,54591:3804.59,54622:1768.99,sddp_alpha_0_41=1000
o,41,11,sddp_ecut_10_41_0_9,2.05946e+09,54374:16383,54405:10805.9,54436:4662.87,54467:2835.92,54498:2.42665,54529:708.774,54591:2885.05,54622:1309.92,sddp_alpha_0_40=1000
o,46,16,sddp_ecut_15_46_0_4,2.5136e+09,54874:24433.3,54905:16747.9,54936:7652.62,54967:5306.51,54998:18491.3,55029:1241.67,55091:4926.33,55122:2208.93,sddp_alpha_0_45=1000
o,44,1,sddp_ecut_0_44_0_6,1.54683e+09,54874:16283.8,54905:10750.8,54936:5334.33,54967:3523.99,54998:7298.3,55029:691.037,55091:2755.58,55122:1223.48,sddp_alpha_0_43=1000
o,44,13,sddp_ecut_12_44_0_6,2.51144e+09,54874:18418.6,54905:11894.6,54936:5694.99,54967:3737.05,54998:1.54317,55029:771.727,55091:3123.2,55122:1432.99,sddp_alpha_0_43=1000
