# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,7,sddp_fcut_6_50_0_0,2.27987e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_6_49=1000
o,2,7,sddp_ecut_6_2_0_48,3.84996e+09,53574:29155.5,53605:22.0428,53636:6566.55,53667:4578.77,53698:14450.4,53729:1035.94,53791:6638.94,53822:1766.39,sddp_alpha_6_1=1000
o,1,7,sddp_ecut_6_1_0_49,3.86355e+09,53574:29155.5,53605:22.9952,53636:6002.88,53667:4578.77,53698:14450.2,53729:738.839,53791:6407.16,53822:1500.88,sddp_alpha_6_0=1000
o,50,7,sddp_ecut_6_50_1_0,4.69773e+07,54874:0,54905:0.146133,54936:0,54967:0,54998:0.210181,55029:706.497,55091:2757.41,55122:1241.48,sddp_alpha_6_49=1000
o,49,7,sddp_ecut_6_49_1_1,2.31702e+09,54874:0,54905:-0.7738,54936:0,54967:0,54998:0.117563,55029:526.585,55091:0,55122:905.928,sddp_alpha_6_48=1000
o,48,7,sddp_ecut_6_48_1_2,2.35751e+09,54874:0,54905:-2.30664,54936:0,54967:0,54998:0.271525,55029:514.059,55091:0,55122:861.911,sddp_alpha_6_47=1000
o,47,7,sddp_ecut_6_47_1_3,2.3974e+09,54874:0,54905:-7.23933,54936:0,54967:0,54998:0.362877,55029:487.843,55091:0,55122:565.201,sddp_alpha_6_46=1000
o,46,7,sddp_ecut_6_46_1_4,2.43609e+09,54874:0,54905:-10.8705,54936:0,54967:0,54998:0.473013,55029:476.387,55091:0,55122:433.88,sddp_alpha_6_45=1000
o,45,7,sddp_ecut_6_45_1_5,2.4789e+09,54874:0,54905:-10.7733,54936:0,54967:0,54998:0.630458,55029:475.328,55091:0,55122:760.745,sddp_alpha_6_44=1000
o,44,7,sddp_ecut_6_44_1_6,2.5218e+09,54874:0,54905:-10.6817,54936:0,54967:0,54998:0.772834,55029:426.237,55091:-1.75127,55122:653.452,sddp_alpha_6_43=1000
o,43,7,sddp_ecut_6_43_1_7,2.56987e+09,54874:0,54905:-10.5738,54936:0,54967:0,54998:0.926609,55029:420.18,55091:-2.75033,55122:806.15,sddp_alpha_6_42=1000
o,42,7,sddp_ecut_6_42_1_8,2.62138e+09,54374:0,54405:-10.4433,54436:0,54467:0,54498:1.11453,54529:561.574,54591:-2.06275,54622:921.31,sddp_alpha_6_41=1000
o,41,7,sddp_ecut_6_41_1_9,2.67351e+09,54374:0,54405:-10.3086,54436:0,54467:0,54498:1.31473,54529:451.955,54591:603.947,54622:736.956,sddp_alpha_6_40=1000
o,40,7,sddp_ecut_6_40_1_10,2.72721e+09,54374:0,54405:-10.1665,54436:0,54467:0,54498:1.61051,54529:527.891,54591:1355.72,54622:913.682,sddp_alpha_6_39=1000
o,39,7,sddp_ecut_6_39_1_11,2.77669e+09,54374:0,54405:-10.0393,54436:0,54467:0,54498:1.86345,54529:544.89,54591:1990.45,54622:952.264,sddp_alpha_6_38=1000
o,38,7,sddp_ecut_6_38_1_12,2.82559e+09,54374:0,54405:-10.1982,54436:0,54467:0,54498:2.04471,54529:602.968,54591:1990.45,54622:739.13,sddp_alpha_6_37=1000
o,37,7,sddp_ecut_6_37_1_13,2.86633e+09,54374:0,54405:-10.375,54436:0,54467:0,54498:2.19779,54529:603.007,54591:1990.45,54622:1008.73,sddp_alpha_6_36=1000
o,36,7,sddp_ecut_6_36_1_14,2.91071e+09,54374:0,54405:-10.5789,54436:0,54467:0,54498:2.37733,54529:593.261,54591:1990.45,54622:967.625,sddp_alpha_6_35=1000
o,35,7,sddp_ecut_6_35_1_15,2.95658e+09,54374:0,54405:-10.7935,54436:0,54467:0,54498:2.50619,54529:578.038,54591:1626.37,54622:728.428,sddp_alpha_6_34=1000
o,34,7,sddp_ecut_6_34_1_16,3.00042e+09,54374:0,54405:-11.0045,54436:0,54467:0,54498:2.59988,54529:580.713,54591:749.599,54622:340.173,sddp_alpha_6_33=1000
o,33,7,sddp_ecut_6_33_1_17,3.04887e+09,54374:0,54405:-8.85698,54436:0,54467:0,54498:2.73456,54529:472.567,54591:281.1,54622:500.134,sddp_alpha_6_32=1000
o,32,7,sddp_ecut_6_32_1_18,3.09782e+09,54374:0,54405:1962.23,54436:0,54467:0,54498:2.85786,54529:498.109,54591:122.981,54622:547.547,sddp_alpha_6_31=1000
