# scale_objective=1000
type,phase,scene,name,rhs,dual,coefficients
o,27,1,sddp_ecut_0_27_36_23,1.86026e+10,,rsv_vol_1_50_27_270=258608,rsv_vol_6_50_27_270=945.836,rsv_vol_21_50_27_270=34311.2,rsv_vol_28_50_27_270=921.621,rsv_vol_37_50_27_270=93.1398,rsv_vol_63_50_27_270=12481,rsv_vol_65_50_27_270=63144.5,rsv_vol_67_50_27_270=35304.8,sddp_alpha_0_26=1000
o,26,1,sddp_ecut_0_26_36_24,1.95577e+10,,rsv_vol_1_50_26_260=258608,rsv_vol_6_50_26_260=555.055,rsv_vol_21_50_26_260=35777.5,rsv_vol_28_50_26_260=930.931,rsv_vol_37_50_26_260=99.5691,rsv_vol_63_50_26_260=13166.4,rsv_vol_65_50_26_260=79434,rsv_vol_67_50_26_260=50398.2,sddp_alpha_0_25=1000
o,25,1,sddp_ecut_0_25_36_25,2.03966e+10,,rsv_vol_1_50_25_250=264896,rsv_vol_6_50_25_250=303.185,rsv_vol_21_50_25_250=38903.5,rsv_vol_28_50_25_250=940.315,rsv_vol_37_50_25_250=106.15,rsv_vol_63_50_25_250=15573.3,rsv_vol_65_50_25_250=83661.4,rsv_vol_67_50_25_250=48800.9,sddp_alpha_0_24=1000
o,24,1,sddp_ecut_0_24_36_26,2.12887e+10,,rsv_vol_1_50_24_240=264896,rsv_vol_6_50_24_240=-0.308467,rsv_vol_21_50_24_240=25672.2,rsv_vol_28_50_24_240=949.183,rsv_vol_37_50_24_240=111.802,rsv_vol_63_50_24_240=14174.9,rsv_vol_65_50_24_240=83661.4,rsv_vol_67_50_24_240=54991.1,sddp_alpha_0_23=1000
o,23,1,sddp_ecut_0_23_36_27,2.21313e+10,,rsv_vol_1_50_23_230=264896,rsv_vol_6_50_23_230=-190.44,rsv_vol_21_50_23_230=22751.3,rsv_vol_28_50_23_230=836.931,rsv_vol_37_50_23_230=114.727,rsv_vol_63_50_23_230=12857.8,rsv_vol_65_50_23_230=80411.4,rsv_vol_67_50_23_230=57385.7,sddp_alpha_0_22=1000
o,22,1,sddp_ecut_0_22_36_28,2.23467e+10,,rsv_vol_1_50_22_220=264896,rsv_vol_6_50_22_220=-251.22,rsv_vol_21_50_22_220=7967.48,rsv_vol_28_50_22_220=838.733,rsv_vol_37_50_22_220=115.513,rsv_vol_63_50_22_220=12866.8,rsv_vol_65_50_22_220=80411.4,rsv_vol_67_50_22_220=56272.7,sddp_alpha_0_21=1000
o,21,1,sddp_ecut_0_21_36_29,2.25344e+10,,rsv_vol_1_50_21_210=264896,rsv_vol_6_50_21_210=-263.989,rsv_vol_21_50_21_210=4550.3,rsv_vol_28_50_21_210=839.934,rsv_vol_37_50_21_210=116.191,rsv_vol_63_50_21_210=12763.2,rsv_vol_65_50_21_210=80411.4,rsv_vol_67_50_21_210=53349.3,sddp_alpha_0_20=1000
o,20,1,sddp_ecut_0_20_36_30,2.27454e+10,,rsv_vol_1_50_20_200=264896,rsv_vol_6_50_20_200=-265.507,rsv_vol_21_50_20_200=4685.56,rsv_vol_28_50_20_200=841.135,rsv_vol_37_50_20_200=116.927,rsv_vol_63_50_20_200=12541.8,rsv_vol_65_50_20_200=80411.4,rsv_vol_67_50_20_200=48438.9,sddp_alpha_0_19=1000
o,19,1,sddp_ecut_0_19_36_31,2.29286e+10,,rsv_vol_1_50_19_190=264896,rsv_vol_6_50_19_190=-265.626,rsv_vol_21_50_19_190=4504.06,rsv_vol_28_50_19_190=842.337,rsv_vol_37_50_19_190=117.568,rsv_vol_63_50_19_190=12380,rsv_vol_65_50_19_190=80411.4,rsv_vol_67_50_19_190=50461.8,sddp_alpha_0_18=1000
o,18,1,sddp_ecut_0_18_36_32,2.31542e+10,,rsv_vol_1_50_18_180=264896,rsv_vol_6_50_18_180=-266.222,rsv_vol_21_50_18_180=4478.88,rsv_vol_28_50_18_180=843.548,rsv_vol_37_50_18_180=118.348,rsv_vol_63_50_18_180=11933,rsv_vol_65_50_18_180=80411.4,rsv_vol_67_50_18_180=51464.1,sddp_alpha_0_17=1000
o,17,1,sddp_ecut_0_17_36_33,2.33833e+10,,rsv_vol_1_50_17_170=264896,rsv_vol_6_50_17_170=-265.444,rsv_vol_21_50_17_170=4627.88,rsv_vol_28_50_17_170=844.758,rsv_vol_37_50_17_170=119.122,rsv_vol_63_50_17_170=11526.4,rsv_vol_65_50_17_170=80411.4,rsv_vol_67_50_17_170=52070.8,sddp_alpha_0_16=1000
o,16,1,sddp_ecut_0_16_36_34,2.36149e+10,,rsv_vol_1_50_16_160=264896,rsv_vol_6_50_16_160=-263.258,rsv_vol_21_50_16_160=4655.46,rsv_vol_28_50_16_160=845.969,rsv_vol_37_50_16_160=119.902,rsv_vol_63_50_16_160=11268.9,rsv_vol_65_50_16_160=80411.4,rsv_vol_67_50_16_160=54592.3,sddp_alpha_0_15=1000
o,15,1,sddp_ecut_0_15_36_35,2.38173e+10,,rsv_vol_1_50_15_150=264896,rsv_vol_6_50_15_150=-261.114,rsv_vol_21_50_15_150=15456.3,rsv_vol_28_50_15_150=847.786,rsv_vol_37_50_15_150=120.498,rsv_vol_63_50_15_150=10385.9,rsv_vol_65_50_15_150=80411.4,rsv_vol_67_50_15_150=51116.6,sddp_alpha_0_14=1000
o,14,1,sddp_ecut_0_14_36_36,2.40589e+10,,rsv_vol_1_50_14_140=264896,rsv_vol_6_50_14_140=-256.987,rsv_vol_21_50_14_140=20829.3,rsv_vol_28_50_14_140=852.668,rsv_vol_37_50_14_140=121.269,rsv_vol_63_50_14_140=9840.04,rsv_vol_65_50_14_140=80411.4,rsv_vol_67_50_14_140=50379.1,sddp_alpha_0_13=1000
o,13,1,sddp_ecut_0_13_36_37,2.42684e+10,,rsv_vol_1_50_13_130=264896,rsv_vol_6_50_13_130=-253.328,rsv_vol_21_50_13_130=16276.4,rsv_vol_28_50_13_130=859.381,rsv_vol_37_50_13_130=121.969,rsv_vol_63_50_13_130=9241.93,rsv_vol_65_50_13_130=80411.4,rsv_vol_67_50_13_130=52708.4,sddp_alpha_0_12=1000
o,12,1,sddp_ecut_0_12_36_38,2.45092e+10,,rsv_vol_1_50_12_120=264896,rsv_vol_6_50_12_120=-249.035,rsv_vol_21_50_12_120=21957,rsv_vol_28_50_12_120=866.094,rsv_vol_37_50_12_120=122.788,rsv_vol_63_50_12_120=8841.44,rsv_vol_65_50_12_120=80411.4,rsv_vol_67_50_12_120=51293.1,sddp_alpha_0_11=1000
o,11,1,sddp_ecut_0_11_36_39,2.4722e+10,,rsv_vol_1_50_11_110=264896,rsv_vol_6_50_11_110=-245.17,rsv_vol_21_50_11_110=24276.8,rsv_vol_28_50_11_110=873.418,rsv_vol_37_50_11_110=123.526,rsv_vol_63_50_11_110=8605.68,rsv_vol_65_50_11_110=80411.4,rsv_vol_67_50_11_110=54924.8,sddp_alpha_0_10=1000
o,10,1,sddp_ecut_0_10_36_40,2.4972e+10,,rsv_vol_1_50_10_100=264896,rsv_vol_6_50_10_100=-240.833,rsv_vol_21_50_10_100=27453.9,rsv_vol_28_50_10_100=882.03,rsv_vol_37_50_10_100=124.631,rsv_vol_63_50_10_100=8508.14,rsv_vol_65_50_10_100=80411.9,rsv_vol_67_50_10_100=56264.9,sddp_alpha_0_9=1000
o,9,1,sddp_ecut_0_9_36_41,2.52251e+10,,rsv_vol_1_50_9_90=264896,rsv_vol_6_50_9_90=-235.909,rsv_vol_21_50_9_90=28466.1,rsv_vol_28_50_9_90=882.03,rsv_vol_37_50_9_90=125.817,rsv_vol_63_50_9_90=9407.86,rsv_vol_65_50_9_90=80411.9,rsv_vol_67_50_9_90=50822.3,sddp_alpha_0_8=1000
