# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,14,1,sddp_fcut_0_14_1_36,2.78734e+08,27964:65361.4,27995:3.45613,28026:28726.7,28057:-0,28088:0.778348,28119:10328.7,28181:44348.9,28212:19850.5,sddp_alpha_0_13=1000
o,13,1,sddp_fcut_0_13_1_37,2.4418e+08,27964:71803.5,27995:2.8715,28026:27664.6,28057:-0,28088:0.650913,28119:9946.81,28181:42709.1,28212:19116.5,sddp_alpha_0_12=1000
o,12,1,sddp_fcut_0_12_1_38,2.74022e+08,27964:71803.5,27995:3.402,28026:27664.6,28057:-0,28088:0.715397,28119:9946.81,28181:40100.4,28212:17948.8,sddp_alpha_0_11=1000
o,11,1,sddp_fcut_0_11_1_39,2.46447e+08,27944:74560.4,27975:3.02413,28006:28726.7,28037:-0,28068:0.681056,28099:10328.7,28161:44348.9,28192:19850.5,sddp_alpha_0_10=1000
o,10,1,sddp_fcut_0_10_1_40,2.86e+08,27944:49331.2,27975:2.27943,28006:27787.8,28037:-0,28068:0.73252,28099:9991.13,28161:42899.4,28192:19201.7,sddp_alpha_0_9=1000
o,9,1,sddp_fcut_0_9_1_41,2.84636e+08,27944:0.112861,27975:0.588905,28006:0.112861,28037:-0,28068:0.751165,28099:9991.13,28161:42899.4,28192:19201.7,sddp_alpha_0_8=1000
o,8,1,sddp_fcut_0_8_1_42,2.81261e+08,27944:-0,27975:-0,28006:-0,28037:-0,28068:0.760489,28099:9991.13,28161:36186.6,28192:12488.9,sddp_alpha_0_7=1000
o,7,1,sddp_fcut_0_7_1_43,2.50455e+08,27944:-0,27975:0.52521,28006:-0,28037:-0,28068:0.678248,28099:10183.6,28161:36883.8,28192:12729.5,sddp_alpha_0_6=1000
o,6,1,sddp_fcut_0_6_1_44,2.95984e+08,27944:-0,27975:0.634279,28006:-0,28037:-0,28068:0.793019,28099:0.0303294,28161:38967.7,28192:14955.5,sddp_alpha_0_5=1000
o,5,1,sddp_fcut_0_5_1_45,2.98781e+08,27944:-0,27975:0.673633,28006:-0,28037:-0,28068:0.811238,28099:-0,28161:43468.7,28192:19456.5,sddp_alpha_0_4=1000
o,4,1,sddp_fcut_0_4_1_46,2.80969e+08,27944:-0,27975:0.672001,28006:-0,28037:-0,28068:1.08051,28099:-0,28161:0.19331,28192:13183.8,sddp_alpha_0_3=1000
o,3,1,sddp_fcut_0_3_1_47,2.49422e+08,27924:-0,27955:0.645569,27986:-0,28017:-0,28048:0.833676,28079:-0,28141:-0,28172:14021.5,sddp_alpha_0_2=1000
o,2,1,sddp_fcut_0_2_1_48,2.22723e+08,27924:-0,27955:-0,27986:-0,28017:-0,28048:0.446446,28079:-0,28141:-0,28172:13711.1,sddp_alpha_0_1=1000
o,1,1,sddp_fcut_0_1_1_49,2.61377e+08,27924:-0,27955:-0,27986:-0,28017:-0,28048:0.528247,28079:-0,28141:-0,28172:13288.9,sddp_alpha_0_0=1000
o,50,1,sddp_fcut_0_50_2_0,8.69496e+08,28054:-0,28085:-0,28116:-0,28147:-0,28178:-0,28209:-0,28271:-0,28302:-0,sddp_alpha_0_49=1000
o,49,1,sddp_ecut_0_49_2_1,2.66703e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:1.71374,28209:8383.02,28271:-0,28302:16111.1,sddp_alpha_0_48=1000
o,48,1,sddp_ecut_0_48_2_2,3.30931e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:4.37438,28209:8213.61,28271:-0,28302:14556.9,sddp_alpha_0_47=1000
o,47,1,sddp_ecut_0_47_2_3,3.94495e+09,28054:-0,28085:-218.838,28116:-0,28147:-0,28178:4.51385,28209:8279.1,28271:-0,28302:0.711752,sddp_alpha_0_46=1000
o,46,1,sddp_ecut_0_46_2_4,4.55541e+09,28054:-0,28085:-220.584,28116:-0,28147:-0,28178:4.87615,28209:9390.03,28271:-0,28302:0.90232,sddp_alpha_0_45=1000
o,45,1,sddp_ecut_0_45_2_5,5.22906e+09,28054:-0,28085:-220.489,28116:-0,28147:-0,28178:6.02993,28209:9479.14,28271:-0,28302:1.02604,sddp_alpha_0_44=1000
o,44,1,sddp_ecut_0_44_2_6,5.90242e+09,28054:-0,28085:-220.397,28116:-0,28147:-0,28178:6.87789,28209:8736.97,28271:-0,28302:1.21437,sddp_alpha_0_43=1000
o,43,1,sddp_ecut_0_43_2_7,6.65991e+09,28054:-0,28085:-220.302,28116:-0,28147:-0,28178:8.69004,28209:9370.62,28271:-0,28302:8754.46,sddp_alpha_0_42=1000
o,42,1,sddp_ecut_0_42_2_8,7.47726e+09,28004:-0,28035:-217.89,28066:-0,28097:-0,28128:11.8276,28159:9430.76,28221:-0,28252:18124.8,sddp_alpha_0_41=1000
o,41,1,sddp_ecut_0_41_2_9,8.31187e+09,28004:-0,28035:-217.799,28066:-0,28097:-0,28128:15.2893,28159:9476.58,28221:19871.9,28252:15417.4,sddp_alpha_0_40=1000
o,40,1,sddp_ecut_0_40_2_10,9.17321e+09,28004:-0,28035:-217.704,28066:-0,28097:-0,28128:20.2806,28159:9476.58,28221:39106.9,28252:17504.2,sddp_alpha_0_39=1000
o,39,1,sddp_ecut_0_39_2_11,9.94383e+09,28004:-0,28035:-217.613,28066:-0,28097:-0,28128:23.2017,28159:9643.25,28221:39106.9,28252:17504.2,sddp_alpha_0_38=1000
