# Archivo con la duracion de las etapas V20240102100052
# Etapas
     276   'H'
# Ano  Mes  Etapa FDesh   NHoras    FactTasa    TipoEtapa
 017 007   199    T     744   4.819248   '10 Bloques'
 017 008   200    T     720   4.857678   '10 Bloques'
 017 009   201    T     744   4.896413   '10 Bloques'
 017 010   202    T     744   4.935458   '10 Bloques'
 017 011   203    T     696   4.974814   '10 Bloques'
 017 012   204    T     744   5.014484   '10 Bloques'
 018 001   205    F     720   5.054470   '10 Bloques'
 018 002   206    F     744   5.094775   '10 Bloques'
 018 003   207    F     720   5.135402   '10 Bloques'
 018 004   208    F     744   5.176352   '10 Bloques'
 018 005   209    F     744   5.217629   '10 Bloques'
 018 006   210    F     720   5.259235   '10 Bloques'
 018 007   211    T     744   5.301173   '10 Bloques'
 018 008   212    T     720   5.343445   '10 Bloques'
 018 009   213    T     744   5.386055   '10 Bloques'
 018 010   214    T     744   5.429004   '10 Bloques'
 018 011   215    T     672   5.472296   '10 Bloques'
 018 012   216    T     744   5.515932   '10 Bloques'
 019 001   217    F     720   5.559917   '10 Bloques'
 019 002   218    F     744   5.604253   '10 Bloques'
 019 003   219    F     720   5.648942   '10 Bloques'
 019 004   220    F     744   5.693987   '10 Bloques'
 019 005   221    F     744   5.739392   '10 Bloques'
 019 006   222    F     720   5.785159   '10 Bloques'
 019 007   223    T     744   5.831290   '10 Bloques'
 019 008   224    T     720   5.877790   '10 Bloques'
 019 009   225    T     744   5.924660   '10 Bloques'
 019 010   226    T     744   5.971904   '10 Bloques'
 019 011   227    T     672   6.019525   '10 Bloques'
 019 012   228    T     744   6.067526   '10 Bloques'
 020 001   229    F     720   6.115909   '10 Bloques'
 020 002   230    F     744   6.164678   '10 Bloques'
 020 003   231    F     720   6.213836   '10 Bloques'
 020 004   232    F     744   6.263386   '10 Bloques'
 020 005   233    F     744   6.313331   '10 Bloques'
 020 006   234    F     720   6.363675   '10 Bloques'
 020 007   235    T     744   6.414420   '10 Bloques'
 020 008   236    T     720   6.465569   '10 Bloques'
 020 009   237    T     744   6.517126   '10 Bloques'
 020 010   238    T     744   6.569095   '10 Bloques'
 020 011   239    T     672   6.621478   '10 Bloques'
 020 012   240    T     744   6.674278   '10 Bloques'
 021 001   241    F     720   6.727500   '10 Bloques'
 021 002   242    F     744   6.781146   '10 Bloques'
 021 003   243    F     720   6.835220   '10 Bloques'
 021 004   244    F     744   6.889725   '10 Bloques'
 021 005   245    F     744   6.944664   '10 Bloques'
 021 006   246    F     720   7.000042   '10 Bloques'
 021 007   247    T     744   7.055861   '10 Bloques'
 021 008   248    T     720   7.112126   '10 Bloques'
 021 009   249    T     744   7.168839   '10 Bloques'
 021 010   250    T     744   7.226004   '10 Bloques'
 021 011   251    T     696   7.283625   '10 Bloques'
 021 012   252    T     744   7.341706   '10 Bloques'
 022 001   253    F     720   7.400250   '10 Bloques'
