#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9
16,1,12,1559704400,-173.14355,-124.37127,-24.733919,-11.892531,-28.887267,-4.6039047,-11.850337,-20.796484,-9.5276972
16,1,13,1355462500,-100.94669,-70.681156,-27.816037,-14.326162,-59.966737,-4.6691581,-11.737494,-21.647669,-10.322535
16,1,14,1348661700,-77.313087,-51.239461,-23.531247,-11.28727,-24.420033,-4.4940889,-6.052068,-19.585369,-8.4947243
16,1,15,1436895300,-76.515889,-44.66093,-21.584869,-10.152667,-41.41674,-4.4704987,-12.021784,-18.691915,-7.8225241
16,1,16,1324240000,-98.078897,-69.914794,-27.880742,-14.581891,-60.331432,-4.6119397,-13.394486,-21.357883,-10.163054
16,1,17,1330500800,-55.603891,-36.910365,-18.517873,-8.4699436,-23.894897,-4.3482078,-6.5710363,-16.83757,-7.2859478
16,1,18,1276789800,-57.021081,-48.683901,-24.340746,-12.743651,-47.31954,-4.4649074,-1.3919388,-16.920628,-7.4764016
16,1,19,1361403800,-66.28985,-30.300699,-16.065697,-6.6358209,-22.168734,-4.1207934,-4.9013411,-15.355804,-6.7041955
16,1,20,1400675800,-30.22548,-42.249782,-15.228993,-5.7839527,-28.334191,-4.265867,-3.8399267,-15.088924,-6.7806998
16,1,21,1464613200,-97.544949,-79.378185,-24.185618,-11.610714,-32.452846,-4.4973209,-5.4444959,-19.819421,-8.5631503
16,1,22,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
16,1,23,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
16,1,24,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
16,1,25,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
16,1,26,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
16,1,27,1221892600,-97.094632,-68.968784,-27.317776,-14.088869,-60.705041,-4.634408,-4.3266514,-21.241629,-10.065445
17,1,1,1475295500,-65.643463,-48.211382,-23.726044,-11.65858,-15.989453,-4.4051914,-12.410889,-19.851388,-8.9532914
17,1,2,1609365300,-56.777511,-23.854271,-15.680706,-6.6332722,-13.449094,-4.1314847,-4.4362097,-14.970541,-6.7454867
