# Archivo de minimos de embalses con holgura (plpminembh.dat)
# Numero de embalses con mantenimientos
 2 
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con vmin
   201
# Etapa     VolMin     Costo
     029  0.3849120    10.0000
     030  0.4573005    10.0000
     031  0.4780650    10.0000
     032  0.4865711    10.0000
     033  0.4865711    10.0000
     034  0.4865711    10.0000
     035  0.4865711    10.0000
     036  0.3849120    10.0000
     037  0.3254818    10.0000
     039  0.2723000    10.0000
     040  0.2723000    10.0000
     041  0.3849120    10.0000
     042  0.4573005    10.0000
     043  0.4780650    10.0000
     044  0.4865711    10.0000
     045  0.4865711    10.0000
     046  0.4865711    10.0000
     047  0.4865711    10.0000
     048  0.3849120    10.0000
     049  0.3254818    10.0000
     051  0.2723000    10.0000
     052  0.2723000    10.0000
     053  0.3849120    10.0000
     054  0.4573005    10.0000
     055  0.4780650    10.0000
     056  0.4865711    10.0000
     057  0.4865711    10.0000
     058  0.4865711    10.0000
     059  0.4865711    10.0000
     060  0.3849120    10.0000
     061  0.3254818    10.0000
     063  0.2723000    10.0000
     064  0.2723000    10.0000
     065  0.3849120    10.0000
     066  0.4573005    10.0000
     067  0.4780650    10.0000
     068  0.4865711    10.0000
     069  0.4865711    10.0000
     070  0.4865711    10.0000
     071  0.4865711    10.0000
     072  0.3849120    10.0000
     073  0.3254818    10.0000
     075  0.2723000    10.0000
     076  0.2723000    10.0000
     077  0.3849120    10.0000
     078  0.4573005    10.0000
     079  0.4780650    10.0000
     080  0.4865711    10.0000
     081  0.4865711    10.0000
     082  0.4865711    10.0000
     083  0.4865711    10.0000
     084  0.3849120    10.0000
     085  0.3254818    10.0000
     087  0.2723000    10.0000
     088  0.2723000    10.0000
     089  0.3849120    10.0000
     090  0.4573005    10.0000
     091  0.4780650    10.0000
     092  0.4865711    10.0000
     093  0.4865711    10.0000
     094  0.4865711    10.0000
     095  0.4865711    10.0000
     096  0.3849120    10.0000
     097  0.3254818    10.0000
     099  0.2723000    10.0000
     100  0.2723000    10.0000
     101  0.3849120    10.0000
     102  0.4573005    10.0000
     103  0.4780650    10.0000
     104  0.4865711    10.0000
     105  0.4865711    10.0000
     106  0.4865711    10.0000
     107  0.4865711    10.0000
     108  0.3849120    10.0000
     109  0.3254818    10.0000
     111  0.2723000    10.0000
     112  0.2723000    10.0000
     113  0.3849120    10.0000
     114  0.4573005    10.0000
     115  0.4780650    10.0000
     116  0.4865711    10.0000
     117  0.4865711    10.0000
     118  0.4865711    10.0000
     119  0.4865711    10.0000
     120  0.3849120    10.0000
     121  0.3254818    10.0000
     123  0.2723000    10.0000
     124  0.2723000    10.0000
     125  0.3849120    10.0000
     126  0.4573005    10.0000
     127  0.4780650    10.0000
     128  0.4865711    10.0000
     129  0.4865711    10.0000
     130  0.4865711    10.0000
     131  0.4865711    10.0000
     132  0.3849120    10.0000
     133  0.3254818    10.0000
     135  0.2723000    10.0000
     136  0.2723000    10.0000
     137  0.3849120    10.0000
     138  0.4573005    10.0000
     139  0.4780650    10.0000
     140  0.4865711    10.0000
     141  0.4865711    10.0000
     142  0.4865711    10.0000
     143  0.4865711    10.0000
     144  0.3849120    10.0000
     145  0.3254818    10.0000
     147  0.2723000    10.0000
     148  0.2723000    10.0000
     149  0.3849120    10.0000
     150  0.4573005    10.0000
     151  0.4780650    10.0000
     152  0.4865711    10.0000
     153  0.4865711    10.0000
     154  0.4865711    10.0000
     155  0.4865711    10.0000
     156  0.3849120    10.0000
     157  0.3254818    10.0000
     159  0.2723000    10.0000
     160  0.2723000    10.0000
     161  0.3849120    10.0000
     162  0.4573005    10.0000
     163  0.4780650    10.0000
     164  0.4865711    10.0000
     165  0.4865711    10.0000
     166  0.4865711    10.0000
     167  0.4865711    10.0000
     168  0.3849120    10.0000
     169  0.3254818    10.0000
     171  0.2723000    10.0000
     172  0.2723000    10.0000
     173  0.3849120    10.0000
     174  0.4573005    10.0000
     175  0.4780650    10.0000
     176  0.4865711    10.0000
     177  0.4865711    10.0000
     178  0.4865711    10.0000
     179  0.4865711    10.0000
     180  0.3849120    10.0000
     181  0.3254818    10.0000
     183  0.2723000    10.0000
     184  0.2723000    10.0000
     185  0.3849120    10.0000
     186  0.4573005    10.0000
     187  0.4780650    10.0000
     188  0.4865711    10.0000
     189  0.4865711    10.0000
     190  0.4865711    10.0000
     191  0.4865711    10.0000
     192  0.3849120    10.0000
     193  0.3254818    10.0000
     195  0.2723000    10.0000
     196  0.2723000    10.0000
     197  0.3849120    10.0000
     198  0.4573005    10.0000
     199  0.4780650    10.0000
     200  0.4865711    10.0000
     201  0.4865711    10.0000
     202  0.4865711    10.0000
     203  0.4865711    10.0000
     204  0.3849120    10.0000
     205  0.3254818    10.0000
     207  0.2723000    10.0000
     208  0.2723000    10.0000
     209  0.3849120    10.0000
     210  0.4573005    10.0000
     211  0.4780650    10.0000
     212  0.4865711    10.0000
     213  0.4865711    10.0000
     214  0.4865711    10.0000
     215  0.4865711    10.0000
     216  0.3849120    10.0000
     217  0.3254818    10.0000
     219  0.2723000    10.0000
     220  0.2723000    10.0000
     221  0.3849120    10.0000
     222  0.4573005    10.0000
     223  0.4780650    10.0000
     224  0.4865711    10.0000
     225  0.4865711    10.0000
     226  0.4865711    10.0000
     227  0.4865711    10.0000
     228  0.3849120    10.0000
     229  0.3254818    10.0000
     231  0.2723000    10.0000
     232  0.2723000    10.0000
     233  0.3849120    10.0000
     234  0.4573005    10.0000
     235  0.4780650    10.0000
     236  0.4865711    10.0000
     237  0.4865711    10.0000
     238  0.4865711    10.0000
     239  0.4865711    10.0000
     240  0.3849120    10.0000
     241  0.3254818    10.0000
     243  0.2723000    10.0000
     244  0.2723000    10.0000
     245  0.3849120    10.0000
     246  0.4573005    10.0000
     247  0.4780650    10.0000
     248  0.4865711    10.0000
     249  0.4865711    10.0000
     250  0.4865711    10.0000
     251  0.4865711    10.0000
     252  0.3849120    10.0000
     253  0.3254818    10.0000
     255  0.2723000    10.0000
     256  0.2723000    10.0000
     257  0.3849120    10.0000
     258  0.4573005    10.0000
     259  0.4780650    10.0000
     260  0.4865711    10.0000
     261  0.4865711    10.0000
     262  0.4865711    10.0000
     263  0.4791826     9.6552
     264  0.3849120    10.0000
     274  0.4865711    10.0000
     275  0.4865711    10.0000
     276  0.3849120    10.0000
