iteration,scene,rhs,LMAULE,CIPRESES,PEHUENCHE,COLBUN,ELTORO,RAPEL,CANUTILLAR,RALCO,PANGUE,PILMAIQUEN
1,20,48571428.57142857,-3492.8571428571427,-1810.7142857142858,-1235.7142857142856,-11571.42857142857,-19357.14285714286,-290.7142857142857,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-41.785714285714285
1,21,49642857.14285714,-3492.8571428571427,-1817.8571428571427,-1239.2857142857142,-11571.42857142857,-19357.14285714286,-296.42857142857144,-3642.8571428571427,-1228.5714285714284,-56.07142857142856,-42.857142857142854
1,22,49642857.14285714,-3492.8571428571427,-1857.1428571428569,-1271.4285714285713,-11892.857142857143,-19535.714285714286,-306.42857142857144,-3642.8571428571427,-1275.0000000000002,-57.857142857142854,-44.285714285714285
1,23,53928571.428571425,-7857.142857142857,-1792.8571428571427,-1271.4285714285713,-11857.142857142855,-19642.85714285714,-305.7142857142857,-3642.8571428571427,-1271.4285714285713,-57.857142857142854,-43.92857142857143
1,24,53928571.428571425,-7857.142857142857,-1792.8571428571427,-1271.4285714285713,-11857.142857142855,-19535.714285714286,-304.6428571428571,-3642.8571428571427,-1267.857142857143,-57.50000000000001,-43.92857142857143
1,25,52142857.14285714,-6392.857142857142,-1746.428571428571,-1235.7142857142856,-11571.42857142857,-19357.14285714286,-279.6428571428571,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-41.785714285714285
1,26,47857142.85714286,-3492.8571428571427,-1046.4285714285713,-828.5714285714284,-7500,-19357.14285714286,-280.71428571428567,-3642.8571428571427,-1207.142857142857,-55.71428571428571,-41.785714285714285
1,27,47500000,-3492.8571428571427,-1639.2857142857142,-900,-8214.285714285714,-19357.14285714286,-278.9285714285714,-3642.8571428571427,-1203.5714285714284,-56.42857142857143,-41.785714285714285
1,28,50357142.85714285,-3492.8571428571427,-1028.5714285714284,-825,-7500,-19357.14285714286,-279.2857142857143,-3642.8571428571427,-1203.5714285714284,-55.35714285714285,-41.785714285714285
2,1,68571428.57142857,-2678.5714285714284,-76.78571428571428,-51.42857142857142,-12.499999999999998,-13357.142857142857,-193.57142857142856,0.8571428571428571,-382.1428571428571,-17.428571428571427,-4.785714285714286
2,2,68928571.42857142,-2678.5714285714284,-76.07142857142857,-52.49999999999999,-12.499999999999998,-13750,-197.5,0.8571428571428571,-385.7142857142857,-17.75,-4.7142857142857135
2,3,68928571.42857142,-2678.5714285714284,-76.07142857142857,-52.14285714285714,-12.499999999999998,-13750,-196.42857142857142,0.8571428571428571,-382.1428571428571,-17.57142857142857,-4.7142857142857135
