#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9, Emb  10
25,1,5,1989301917,-81.19860297,-82.4387922,-32.35824006,-16.38273392,-50.8518616,-6.231059558,-1.739752565,-23.76131277,-10.86464154,-5.690214333
25,1,6,2057240105,-81.27956141,-64.59428215,-32.25928911,-16.37742221,-51.01990769,-6.21540034,-1.583717808,-23.69540439,-10.80665252,-5.524552212
25,1,7,2058660244,-81.22881877,-63.64440325,-31.54633051,-16.1639361,-50.96833846,-5.902633038,-1.654575942,-23.58395981,-10.55659266,-5.400613997
25,1,8,2058535216,-81.22918138,-63.6889894,-31.629037,-16.18962908,-50.9705024,-6.133984674,-1.788104091,-23.62088706,-10.56649802,-5.55712664
25,1,9,1986929777,-81.14731057,-177.8140375,-32.74190241,-16.55178335,-51.22490832,-6.244976322,-1.963137544,-23.93078069,-10.90780911,-6.28612214
25,1,10,2054088948,-81.27628757,-70.5480641,-32.39216899,-16.38069476,-51.18947568,-6.152686268,-1.767677069,-23.61279278,-10.70226016,-6.362235452
25,1,11,2054127808,-81.51596054,-64.10619599,-31.56843384,-16.16615592,-51.15561433,-5.89722918,-1.560766975,-23.56693556,-10.5122346,-5.362068409
25,1,12,1950127943,-82.55435281,-283.8756441,-32.98294912,-16.75867629,-50.25921776,-6.234821815,-1.749822074,-24.09382698,-10.9138064,-5.946011413
25,1,13,2044711248,-83.58167976,-84.70536874,-32.50303392,-16.66543865,-50.24652787,-6.186912304,-1.516858079,-23.8894086,-10.63082341,-5.51139328
25,1,14,2041665754,-84.27678883,-159.9453706,-32.97993391,-16.82793779,-50.26280222,-6.216180266,-1.4669866,-24.11510112,-10.87371265,-5.890642371
25,1,15,2064396685,-84.30276774,-155.8373261,-33.70914606,-16.84191174,-50.28789217,-6.40479881,-1.666597671,-24.17245514,-11.62610165,-6.305021672
25,1,16,2046141655,-85.29304397,-83.52905651,-33.3626514,-16.80232018,-50.2762667,-6.358159847,-1.714801685,-23.84638984,-11.45886577,-6.765196456
25,1,17,2044297437,-85.2439649,-101.1652609,-32.63962563,-16.74229407,-50.25239194,-6.194630597,-1.708377984,-23.82015489,-10.74796362,-6.160459276
25,1,18,2072640041,-103.7361126,-255.3441865,-37.06359423,-18.65552024,-50.61667505,-6.845830376,-3.781432746,-24.53472897,-12.64519266,-5.978453665
25,1,19,2045455304,-84.5635108,-157.5478871,-32.89056276,-16.82967934,-50.26105028,-6.201226504,-1.595781906,-24.11390674,-10.78468046,-5.637220681
25,1,20,2042371340,-84.70914425,-83.55968301,-32.65904776,-16.82519031,-50.25655995,-6.193681585,-1.723865387,-24.0428465,-10.75868543,-6.564766729
25,1,21,2012392853,-82.80169767,-290.1264648,-38.71899507,-20.5970543,-50.32114788,-6.751339867,-1.835148418,-24.48302069,-12.4318946,-6.49572721
25,1,22,2074993466,-84.07126053,-68.0724164,-34.15273315,-16.82401152,-50.30998639,-6.565056684,-3.011516788,-24.31146161,-11.99204469,-6.695807458
25,1,23,2087598352,-110.3357036,-257.9099241,-38.71003391,-19.90682676,-50.65632639,-6.957819513,-8.082949292,-28.79354323,-12.92951897,-8.851268877
25,1,24,2079048666,-105.435208,-255.2664148,-34.89475995,-16.85648353,-50.33031438,-6.742341018,-3.553620474,-24.44973118,-12.42581557,-6.977322997
25,1,25,2048633364,-85.05209474,-66.09520665,-32.0970941,-16.66750511,-50.24268608,-6.11918947,-1.560912017,-23.64198315,-10.51481079,-5.831773863
25,1,26,2049168174,-81.56544641,-65.89499786,-31.7082682,-16.3464851,-50.20742239,-6.076459106,-1.713986928,-23.73022359,-10.53889167,-6.357103613
25,1,27,2015536992,-81.17717937,-188.8851165,-33.41767902,-16.66282633,-50.27988496,-6.387858776,-1.965200235,-23.96269775,-11.55590907,-7.322218294
25,1,28,2055376002,-81.24964453,-63.67410439,-31.44467888,-16.09412614,-51.14130896,-6.074754731,-1.590066389,-23.56846526,-10.53164828,-5.403887712
26,1,1,2048347438,-83.57163729,-72.21066635,-32.79598387,-16.74481021,-50.24874899,-6.173527492,-1.713410659,-23.88860151,-10.64419263,-5.622509045
26,1,2,2048083347,-81.70423974,-63.89723139,-31.45712052,-16.18608881,-50.18342286,-6.04257592,-1.094622799,-23.56574117,-10.48935057,-5.296515359
26,1,3,2053053899,-81.28719042,-63.65831742,-31.35597705,-16.19713462,-51.16239985,-6.072815768,-1.746094388,-23.50032667,-10.37363596,-5.576792971
26,1,4,2058633860,-80.8219302,-63.54365488,-31.40030977,-16.00672658,-50.74609783,-5.902234302,-1.545748749,-23.45859067,-10.52349447,-5.345367903
26,1,5,2054579050,-81.19019287,-82.42104144,-32.41363288,-16.42977903,-50.85420099,-6.232099677,-1.740831933,-23.77146052,-10.87028324,-5.701013082
26,1,6,2058932912,-81.28035421,-64.44047254,-32.36653189,-16.44764546,-51.02359742,-6.217790026,-1.584909986,-23.77407674,-10.82676203,-5.540186216
